tupleid,attribute,value
1,provider number,10018
1,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
1,address1,1720 UNIVERSITY BLVD
1,address2,""
1,address3,""
1,city,BIRMINGHAM
1,state,AL
1,zip code,35233
1,county name,JEFFERSON
1,phone number,2053258100
1,hospital type,Acute Care Hospitals
1,hospital owner,Voluntary non-profit - Private
1,emergency service,Yes
1,condition,Surgical Infection Prevention
1,measure code,SCIP-CARD-2
1,measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
1,score,""
1,sample,""
1,stateavg,AL_SCIP-CARD-2
2,provider number,10018
2,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
2,address1,1720 UNIVERSITY BLVD
2,address2,""
2,address3,""
2,city,BIRMINGHAM
2,state,AL
2,zip code,35233
2,county name,JEFFERSON
2,phone number,2053258100
2,hospital type,Acute Care Hospitals
2,hospital owner,Voluntary non-profit - Private
2,emergency service,Yes
2,condition,Surgical Infection Prevention
2,measure code,SCIP-INF-1
2,measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
2,score,""
2,sample,""
2,stateavg,AL_SCIP-INF-1
3,provider number,10018
3,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
3,address1,1720 UNIVERSITY BLVD
3,address2,""
3,address3,""
3,city,BIRMINGHAM
3,state,AL
3,zip code,35233
3,county name,JEFFERSON
3,phone number,2053258100
3,hospital type,Acute Care Hospitals
3,hospital owner,Voluntary non-profit - Private
3,emergency service,Yes
3,condition,Surgical Infection Prevention
3,measure code,SCIP-INF-2
3,measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection
3,score,""
3,sample,""
3,stateavg,AL_SCIP-INF-2
4,provider number,10018
4,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
4,address1,1720 UNIVERSITY BLVD
4,address2,""
4,address3,""
4,city,BIRMINGHAM
4,state,AL
4,zip code,35233
4,county name,JEFFERSON
4,phone number,2053258100
4,hospital type,Acute Care Hospitals
4,hospital owner,Voluntary non-profit - Private
4,emergency service,Yes
4,condition,Surgical Infection Prevention
4,measure code,SCIP-INF-3
4,measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
4,score,""
4,sample,""
4,stateavg,AL_SCIP-INF-3
5,provider number,10018
5,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
5,address1,1720 UNIVERSITY BLVD
5,address2,""
5,address3,""
5,city,BIRMINGHAM
5,state,AL
5,zip code,35233
5,county name,JEFFERSON
5,phone number,2053258100
5,hospital type,Acute Care Hospitals
5,hospital owner,Voluntary non-profit - Private
5,emergency service,Yes
5,condition,Surgical Infection Prevention
5,measure code,SCIP-INF-4
5,measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
5,score,""
5,sample,""
5,stateavg,AL_SCIP-INF-4
6,provider number,10018
6,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
6,address1,1720 UNIVERSITY BLVD
6,address2,""
6,address3,""
6,city,BIRMINGHAM
6,state,AL
6,zip code,35233
6,county name,JEFFERSON
6,phone number,2053258100
6,hospital type,Acute Care Hospitals
6,hospital owner,Voluntary non-profit - Private
6,emergency service,Yes
6,condition,Surgical Infection Prevention
6,measure code,SCIP-INF-6
