Country,City,Population,Country Codes
England,Greenwich,63500,GBR
United States of America,Miami,436000,USA
Spain,Barcelona,5850000,ESP
Japan,Kyoto,1460000,JPN
Philippines,Manila,13500000,PHL
Germany,Hannover,538000,DEU
Netherlands,Groningen,235000,NLD
Türkiye,Istanbul,15800000,TUR
South Africa,Queenstown,68900,ZAF
United States of America,Phoenix,1650000,USA
China,Shanghai,29200000,CHN
Hungary,Budapest,1760000,HUN
Egypt,New Cairo,297000,EGY
Mali,Bamako,2930000,MLI
Nigeria,Lagos,13500000,NGA
Mexico,Guadalajara,5040000,MEX
Thailand,Hat Yai,149000,THA
United Arab Emirates,Dubai,3140000,ARE
Ireland,Dublin,1345402,IRL
Greece,Athens,3150000,GRC
