Country,City,Population,ISO 3166-1 Alpha3 Code
England,Greenwich,635000,GBR
United States of America,Miami,436000,USA
Spain,Barcelona,7850000,ESP
Japan,Kyoto,1460000,JPN
Philippines,Manila,13500000,PHL
Germany,Hannover,53800,DEU
Netherlands,Groningen,235000,NLD
Türkiye,Istanbul,15800000,TUR
South Africa,Queenstown,9,ZAF
United States of America,Phoenix,1650000000,USA
China,Shanghai,29200000,CHN
Hungary,Budapest,2460000,HUN
Egypt,New Cairo,297000,EGY
Mali,Bamako,7930000,MLI
Nigeria,Lagos,13500000,NGA
Mexico,Guadalajara,5040000,MEX
Thailand,Hat Yai,149000,THA
United Arab Emirates,Dubai,6140000,ARE
Ireland,Dublin,1345402,IRL
Greece,Athens,31500,GRC
