Namespace,Name,Dataset,Number of Rows,Number of Examples,Runtime,F1,Precision,Recall,Accuracy,True pos,True neg,False pos,False neg,Prompt
"DuplicateDetection.Bloke.ZeroShot.Grammar","With Grammar",Affiliation,20,0,00:01:01,0.024999999999999998,0.013888888888888888,0.125,0.5894736842105263,1,111,71,7,"Q: Are these two rows duplicates?\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.ZeroShot.Grammar","Without Grammar",Affiliation,20,0,00:07:08,0.03125,0.017857142857142856,0.125,0.6736842105263158,1,127,55,7,"Q: Are these two rows duplicates?\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.FewShot.Grammar","With Grammar",Affiliation,20,0,00:08:38,0.0900900900900901,0.04854368932038835,0.625,0.46842105263157896,5,84,98,3,"Q: Are these two rows duplicates?{examples}\n\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.FewShot.Grammar","Without Grammar",Affiliation,20,0,00:11:29,0.025974025974025972,0.013888888888888888,0.2,0.6052631578947368,1,114,71,4,"Q: Are these two rows duplicates?{examples}\n\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.ZeroShot.Grammar","With Grammar",Affiliation,20,0,00:01:34,0.05555555555555555,0.03125,0.25,0.6421052631578947,2,120,62,6,"Q: Are these two rows duplicates?\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.ZeroShot.Grammar","Without Grammar",Affiliation,20,0,00:08:37,0.08888888888888889,0.05405405405405406,0.25,0.7842105263157895,2,147,35,6,"Q: Are these two rows duplicates?\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.FewShot.Grammar","With Grammar",Affiliation,20,0,00:06:56,0.06,0.031914893617021274,0.5,0.5052631578947369,3,93,91,3,"Q: Are these two rows duplicates?{examples}\n\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.FewShot.Grammar","Without Grammar",Affiliation,20,0,00:12:55,0.024096385542168672,0.01282051282051282,0.2,0.5736842105263158,1,108,77,4,"Q: Are these two rows duplicates?{examples}\n\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.ZeroShot.Grammar","With Grammar",Affiliation,20,0,00:00:45,0.03571428571428571,0.02,0.16666666666666666,0.7157894736842105,1,135,49,5,"Q: Are these two rows duplicates?\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.ZeroShot.Grammar","Without Grammar",Affiliation,20,0,00:22:08,0.032786885245901634,0.01818181818181818,0.16666666666666666,0.6894736842105263,1,130,54,5,"Q: Are these two rows duplicates?\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.FewShot.Grammar","With Grammar",Affiliation,20,0,00:08:49,0.1016949152542373,0.05660377358490566,0.5,0.4421052631578947,6,78,100,6,"Q: Are these two rows duplicates?{examples}\n\n{row1}\n{row2} A:"
"DuplicateDetection.Bloke.FewShot.Grammar","Without Grammar",Affiliation,20,0,00:11:03,0.11904761904761905,0.06944444444444445,0.4166666666666667,0.6105263157894737,5,111,67,7,"Q: Are these two rows duplicates?{examples}\n\n{row1}\n{row2} A:"
