Namespace,Name,Dataset,Number of Rows,Number of Examples,Runtime,F1,Precision,Recall,Accuracy,True pos,True neg,False pos,False neg,Prompt
"DuplicateDetection.Bloke.ZeroShot.CustomPrompts","Answer either yes or no",Affiliation,20,0,00:01:02,0.05917159763313609,0.03067484662576687,0.8333333333333334,0.1631578947368421,5,26,158,1,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word, either yes or no.\n\nQ: Are these two rows duplicates?\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.FewShot.CustomPrompts","Answer either yes or no",Affiliation,20,0,00:08:25,0.04166666666666667,0.02127659574468085,1.0,0.031578947368421054,4,2,184,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word, either yes or no.\n\nQ: Are these two rows duplicates?\nExamples:\n{examples}\n\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.ZeroShot.CustomPrompts","Answer either yes or no",Affiliation,20,0,00:00:53,0.05161290322580646,0.026490066225165563,1.0,0.22631578947368422,4,39,147,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word, either yes or no.\n\nQ: Are these two rows duplicates?\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.FewShot.CustomPrompts","Answer either yes or no",Affiliation,20,0,00:08:56,0.05235602094240838,0.026881720430107527,1.0,0.04736842105263158,5,4,181,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word, either yes or no.\n\nQ: Are these two rows duplicates?\nExamples:\n{examples}\n\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.ZeroShot.CustomPrompts","Answer either yes or no",Affiliation,20,0,00:01:13,0.037267080745341616,0.01910828025477707,0.75,0.18421052631578946,3,32,154,1,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word, either yes or no.\n\nQ: Are these two rows duplicates?\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.FewShot.CustomPrompts","Answer either yes or no",Affiliation,20,0,00:08:33,0.05235602094240838,0.026881720430107527,1.0,0.04736842105263158,5,4,181,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word, either yes or no.\n\nQ: Are these two rows duplicates?\nExamples:\n{examples}\n\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.ZeroShot.CustomPrompts","Answer in a single word",Affiliation,20,0,00:00:56,0.06557377049180328,0.03389830508474576,1.0,0.1,6,13,171,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word.\n\nQ: Are these two rows duplicates?\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.FewShot.CustomPrompts","Answer in a single word",Affiliation,20,0,00:07:07,0.07142857142857142,0.037037037037037035,1.0,0.042105263157894736,7,1,182,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word.\n\nQ: Are these two rows duplicates?\nExamples:\n{examples}\n\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.ZeroShot.CustomPrompts","Answer in a single word",Affiliation,20,0,00:00:56,0.06557377049180328,0.03389830508474576,1.0,0.1,6,13,171,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word.\n\nQ: Are these two rows duplicates?\n{row1}\n{row2}\nA:"
"DuplicateDetection.Bloke.FewShot.CustomPrompts","Answer in a single word",Affiliation,20,0,00:07:39,0.06153846153846154,0.031746031746031744,1.0,0.03684210526315789,6,1,183,0,"You are a helpful assistant who is great at finding duplicates in tabular data. You always answer in a single word.\n\nQ: Are these two rows duplicates?\nExamples:\n{examples}\n\n{row1}\n{row2}\nA:"
