Namespace,Name,Dataset,Number of Rows,Number of Examples,Runtime,F1,Precision,Recall,Accuracy,True pos,True neg,False pos,False neg,Prompt
"ErrorDetection.ZeroShot.CustomDataset","Syntactic Errors",Custom Typos,20,0,00:05:46,0.0,0.0,0.0,0.8125,0,65,6,9,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","Syntactic Errors",Custom Typos,20,3,00:02:14,0.1311475409836066,0.07692307692307693,0.4444444444444444,0.3375,4,23,48,5,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","Semantic Errors",Custom Typos,20,0,00:06:10,0.15384615384615383,0.25,0.1111111111111111,0.8625,1,68,3,8,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","Semantic Errors",Custom Typos,20,3,00:02:30,0.1568627450980392,0.09523809523809523,0.4444444444444444,0.4625,4,33,38,5,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","All Errors",Custom Typos,20,0,00:06:19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9,2,70,4,4,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","All Errors",Custom Typos,20,3,00:02:35,0.09230769230769231,0.05084745762711865,0.5,0.2625,3,18,56,3,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","Syntactic Errors",Custom Typos,20,0,00:06:11,0.13333333333333333,0.16666666666666666,0.1111111111111111,0.8375,1,66,5,8,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","Syntactic Errors",Custom Typos,20,3,00:02:23,0.11940298507462686,0.06896551724137931,0.4444444444444444,0.2625,4,17,54,5,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","Semantic Errors",Custom Typos,20,0,00:06:09,0.0,0.0,0.0,0.85,0,68,3,9,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","Semantic Errors",Custom Typos,20,3,00:02:14,0.1,0.058823529411764705,0.3333333333333333,0.325,3,23,48,6,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","All Errors",Custom Typos,20,0,00:06:18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9,2,70,4,4,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","All Errors",Custom Typos,20,3,00:02:04,0.13793103448275862,0.07692307692307693,0.6666666666666666,0.375,4,26,48,2,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","Syntactic Errors",Custom Typos,20,0,00:06:15,0.0,0.0,0.0,0.8375,0,67,4,9,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","Syntactic Errors",Custom Typos,20,3,00:02:17,0.15384615384615385,0.08928571428571429,0.5555555555555556,0.3125,5,20,51,4,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","Semantic Errors",Custom Typos,20,0,00:05:35,0.0,0.0,0.0,0.8625,0,69,2,9,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","Semantic Errors",Custom Typos,20,3,00:02:27,0.21428571428571427,0.1276595744680851,0.6666666666666666,0.45,6,30,41,3,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","All Errors",Custom Typos,20,0,00:06:27,0.0,0.0,0.0,0.9,0,72,2,6,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","All Errors",Custom Typos,20,3,00:02:18,0.09090909090909091,0.05,0.5,0.25,3,17,57,3,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","Syntactic Errors",Custom Typos,20,0,00:05:38,0.0,0.0,0.0,0.8,0,64,7,9,"Is there an error in {attr}?\n{context}?"
"ErrorDetection.FewShot.CustomDataset","Syntactic Errors",Custom Typos,20,3,00:02:22,0.15625,0.09090909090909091,0.5555555555555556,0.325,5,21,50,4,"Is there an error in {attr}?\n\n{example}\n\n{context}?"
"ErrorDetection.ZeroShot.CustomDataset","Semantic Errors",Custom Typos,20,0,00:06:03,0.0,0.0,0.0,0.875,0,70,1,9,"Is there an error in {attr}?\n{context}?"
