Namespace,Name,Dataset,Number of Rows,Number of Examples,Runtime,F1,Precision,Recall,Accuracy,True pos,True neg,False pos,False neg,Prompt
"ErrorDetection.ZeroShot.CustomPrompt","Answer either yes or no",Flights,100,0,00:00:48,0.37250554323725055,0.3559322033898305,0.39069767441860465,0.5283333333333333,84,233,152,131,"You are a helpful assistant who is great in finding errors in tabular data. You always answer in a single word, either yes or no.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","Answer in a single word",Flights,100,0,00:00:48,0.5080946450809465,0.34056761268781305,1.0,0.3416666666666667,204,1,395,0,"You are a helpful assistant who is great in finding errors in tabular data. You always answer in a single word.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","Precise and short",Flights,100,0,00:10:27,0.5218476903870162,0.3530405405405405,1.0,0.3616666666666667,209,8,383,0,"You are a helpful assistant who is great in finding errors in tabular data. You answer as precise and short as possible.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","Deep breath",Flights,100,0,00:16:12,0.511166253101737,0.3433333333333333,1.0,0.3433333333333333,206,0,394,0,"You are a helpful assistant who is great in finding errors in tabular data. Take a deep breath and than answer the following question.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","No prompt introduction",Flights,100,0,00:34:08,0.5121212121212121,0.3681917211328976,0.8407960199004975,0.4633333333333333,169,109,290,32,"Q: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","Answer either yes or no",Flights,100,0,00:00:43,0.35585585585585583,0.3172690763052209,0.40512820512820513,0.5233333333333333,79,235,170,116,"You are a helpful assistant who is great in finding errors in tabular data. You always answer in a single word, either yes or no.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","Answer in a single word",Flights,100,0,00:00:49,0.4993726474278544,0.3333333333333333,0.995,0.335,199,2,398,1,"You are a helpful assistant who is great in finding errors in tabular data. You always answer in a single word.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","Precise and short",Flights,100,0,00:10:24,0.5290482076637825,0.3602693602693603,0.9953488372093023,0.365,214,5,380,1,"You are a helpful assistant who is great in finding errors in tabular data. You answer as precise and short as possible.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","Deep breath",Flights,100,0,00:15:46,0.5124378109452736,0.34448160535117056,1.0,0.3466666666666667,206,2,392,0,"You are a helpful assistant who is great in finding errors in tabular data. Take a deep breath and than answer the following question.\n\nQ: Is there an error in {attr}?\n{context}\n\nA:"
"ErrorDetection.ZeroShot.CustomPrompt","No prompt introduction",Flights,100,0,00:33:19,0.4791666666666667,0.344017094017094,0.7892156862745098,0.4166666666666667,161,89,307,43,"Q: Is there an error in {attr}?\n{context}\n\nA:"
